"beginTime";"peakTime";"endTime";"classType";"classTypeNumber";"sourceLocation";"lat";"lon";"farestStartDate";"farestEndDate"
"2015-09-27T20:54Z";"2015-09-27T21:00Z";"2015-09-27T21:15Z";"M1.0";31;"S21W15";"-21";"-15";NA;NA
"2015-09-28T03:45Z";"2015-09-28T03:55Z";"2015-09-28T03:59Z";"M3.6";33,6;"S08W71";"-08";"-71";NA;NA
"2015-09-28T07:27Z";"2015-09-28T07:34Z";"2015-09-28T07:46Z";"M1.1";31,1;"S21W22";"-21";"-22";NA;NA
"2015-09-28T13:01Z";"2015-09-28T13:18Z";"2015-09-28T13:29Z";"M1.1";31,1;"S21W22";"-21";"-22";NA;NA
"2015-09-28T14:53Z";"2015-09-28T14:58Z";"2015-09-28T15:03Z";"M7.6";37,6;"S20W23";"-20";"-23";NA;NA
"2015-09-29T03:11Z";"2015-09-29T03:16Z";"2015-09-29T03:31Z";"M1.2";31,2;"S09W80";"-09";"-80";NA;NA
"2015-09-29T03:41Z";"2015-09-29T03:43Z";"2015-09-29T03:53Z";"M1.1";31,1;"S09W88";"-09";"-88";NA;NA
"2015-09-29T04:41Z";"2015-09-29T04:46Z";"2015-09-29T04:55Z";"C5.1";25,1;"S07W79";"-07";"-79";NA;NA
"2015-09-29T05:05Z";"2015-09-29T05:16Z";"2015-09-29T05:33Z";"M2.9";32,9;"S09W80";"-09";"-80";NA;NA
"2015-09-29T05:33Z";"2015-09-29T05:37Z";"2015-09-29T05:39Z";"M1.2";31,2;"S09W80";"-09";"-80";NA;NA
"2015-09-29T05:53Z";"2015-09-29T05:56Z";"2015-09-29T06:04Z";"M1.0";31;"S19W37";"-19";"-37";NA;NA
"2015-09-29T06:15Z";"2015-09-29T06:18Z";"2015-09-29T06:23Z";"C8.6";28,6;"S19W38";"-19";"-38";NA;NA
"2015-09-29T06:39Z";"2015-09-29T06:43Z";"2015-09-29T06:46Z";"M1.4";31,4;"S20W38";"-20";"-38";NA;NA
"2015-09-29T08:46Z";"2015-09-29T08:55Z";"2015-09-29T08:51Z";"M1.3";31,3;"S09W88";"-09";"-88";NA;NA
"2015-09-29T09:22Z";"2015-09-29T09:26Z";"2015-09-29T09:28Z";"C5.2";25,2;"S21W33";"-21";"-33";NA;NA
"2015-09-29T11:09Z";"2015-09-29T11:15Z";"2015-09-29T11:20Z";"M1.6";31,6;"S20W39";"-20";"-39";NA;NA
"2015-09-29T19:20Z";"2015-09-29T19:24Z";"2015-09-29T19:27Z";"M1.1";31,1;"S15W44";"-15";"-44";NA;NA
